1, Atlético_Mineiro, Palmeiras, 2x2				
1, Internacional, Athletico_Paranaense, 0x1				
1, Coritiba, Red_Bull_Bragantino, 0x1				
1, Vitória, Remo, 2x0				
1, Fluminense, Grêmio, 2x1				
1, Corinthians, Bahia, 1x2				
1, Chapecoense, Santos, 4x2				
1, São_Paulo, Flamengo, 2x1				
1, Mirassol, Vasco, 2x1				
1, Botafogo, Cruzeiro, 4x0
2, Flamengo, Internacional, 1x1
2, Red_Bull_Bragantino, Atlético_Mineiro, 1x0
2, Santos, São_Paulo, 1x1
2, Remo, Mirassol, 2x2
2, Palmeiras, Vitória, 5x1
2, Grêmio, Botafogo, 5x3
2, Bahia, Fluminense, 1x1
2, Vasco, Chapecoense, 1x1
2, Cruzeiro, Coritiba, 1x2
2, Athletico_Paranaense, Corinthians, 0x1
3, Vitória, Flamengo, 1x2					
3, Mirassol, Cruzeiro, 2x2					
3, Chapecoense, Coritiba, 3x3					
3, Atlético_Mineiro, Remo, 3x3					
3, Vasco, Bahia, 0x1					
3, São_Paulo, Grêmio, 2x0					
3, Athletico_Paranaense, Santos, 2x1					
3, Fluminense, Botafogo, 1x0					
3, Corinthians, Red_Bull_Bragantino, 2x0					
3, Internacional, Palmeiras, 1x3	
4, Botafogo, V ,x	ADI	Vitória	
4, Bahia, C ,x	ADI	Chapecoense	
4, Flamengo, M ,x	ADI	Mirassol	
4, Red_Bull_Bragantino, Athletico_Paranaense, 1x1					
4, Remo, Internacional, 1x1					
4, Coritiba, São_Paulo, 0x1					
4, Cruzeiro, Corinthians, 1x1					
4, Palmeiras, Fluminense, 2x1					
4, Grêmio, Atlético_Mineiro, 2x1					
4, Santos, Vasco, 2x1	
5, Mirassol, Santos, 2x2					
5, Atlético_Mineiro, Internacional, 1x0					
5, Bahia, Vitória, 1x1					
5, Flamengo, Cruzeiro, 2x0					
5, Corinthians, Coritiba, 0x2					
5, Remo, Fluminense, 0x2					
5, Vasco, Palmeiras, 2x1					
5, São_Paulo, Chapecoense, 2x0					
5, Grêmio, Red_Bull_Bragantino, 1x1					
5, Athletico_Paranaense, Botafogo, 4x1	
6, Vitória, Atlético_Mineiro, 2x0					
6, Botafogo, Flamengo, 0x3					
6, Santos, Corinthians, 1x1					
6, Fluminense, Athletico_Paranaense, 3x2					
6, Internacional, Bahia, 0x1					
6, Palmeiras, Mirassol, 1x0					
6, Coritiba, Remo, 1x0					
6, Red_Bull_Bragantino, São_Paulo, 1x2					
6, Cruzeiro, Vasco, 3x3					
6, Chapecoense, Grêmio, 1x1		
7, Palmeiras, Botafogo, 2x1					
7, Bahia, Red_Bull_Bragantino, 2x0					
7, Athletico_Paranaense, Cruzeiro, 2x1					
7, Mirassol, Coritiba, 0x1					
7, Atlético_Mineiro, São_Paulo, 1x0					
7, Vasco, Fluminense, 3x2					
7, Santos, Internacional, 1x2					
7, Grêmio, Vitória, 2x0					
7, Flamengo, Remo, 3x0					
7, Chapecoense, Corinthians, 0x0	
8, Red_Bull_Bragantino, Botafogo, 1x2					
8, Fluminense, Atlético_Mineiro, 1x0					
8, São_Paulo, Palmeiras, 0x1					
8, Vasco, Grêmio, 2x1					
8, Cruzeiro, Santos, 0x0					
8, Athletico_Paranaense, Coritiba, 2x0					
8, Remo, Bahia, 4x1					
8, Internacional, Chapecoense, 2x0					
8, Vitória, Mirassol, 1x0					
8, Corinthians, Flamengo, 1x1	
9, Botafogo, Mirassol, 3x2					
9, Internacional, São_Paulo, 1x1					
9, Cruzeiro, Vitória, 3x0					
9, Bahia, Athletico_Paranaense, 3x0					
9, Coritiba, Vasco, 1x1					
9, Fluminense, Corinthians, 3x1					
9, Santos, Remo, 2x0					
9, Chapecoense, Atlético_Mineiro, 0x4					
9, Palmeiras, Grêmio, 2x1					
9, Red_Bull_Bragantino, Flamengo, 3x0	
10, São_Paulo, Cruzeiro, 4x1					
10, Coritiba, Fluminense, 1x1					
10, Vasco, Botafogo, 1x2					
10, Chapecoense, Vitória, 1x1					
10, Flamengo, Santos, 3x1					
10, Atlético_Mineiro, Athletico_Paranaense, 2x1					
10, Corinthians, Internacional, 0x1					
10, Bahia, Palmeiras, 1x2					
10, Mirassol, Red_Bull_Bragantino, 0x1					
10, Grêmio, Remo, 0x0	
